imo,vessel_name,gross_tonnage,type,year_build,flag
9380403,COSCO KOBE,40165,Container Ship,2008,Panama (PAN)
9448750,COSCO KOREA,91051,Container Ship,2010,"Hong Kong, China (HKG)"
9448774,COSCO MALAYSIA,91051,Container Ship,2010,"Hong Kong, China (HKG)"
9380271,COSCO NAGOYA,40165,Container Ship,2008,Panama (PAN)
9516430,COSCO NETHERLANDS,153666,Container Ship,2013,"Hong Kong, China (HKG)"
9335185,COSCO NEW YORK,54778,Container Ship,2007,Panama (PAN)
9305582,COSCO NINGBO,109149,Container Ship,2006,Malta (MLT)
9334923,COSCO OCEANIA,115776,Container Ship,2008,"Hong Kong, China (HKG)"
9400291,COSCO OSAKA,40165,Container Ship,2008,Panama (PAN)
9355551,COSCO PACIFIC,115776,Container Ship,2008,"Hong Kong, China (HKG)"
9448762,COSCO PHILIPPINES,91051,Container Ship,2010,"Hong Kong, China (HKG)"
9484364,COSCO PIRAEUS,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9516466,COSCO PORTUGAL,153666,Container Ship,2014,"Hong Kong, China (HKG)"
9472153,COSCO PRIDE,141823,Container Ship,2011,"Hong Kong, China (HKG)"
9448803,COSCO PRINCE RUPERT,91051,Container Ship,2011,"Hong Kong, China (HKG)"
9247869,COSCO RAN,8917,Container Ship,2001,Panama (PAN)
9221073,COSCO ROTTERDAM,65531,Container Ship,2002,United Kingdom (GBR)
9247857,COSCO SAKURA,8917,Container Ship,2001,Panama (PAN)
9484376,COSCO SANTOS,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9484388,COSCO SAO PAULO,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9221097,COSCO SHANGHAI,65531,Container Ship,2001,United Kingdom (GBR)
9757864,COSCO SHIPPING ALPS,154300,Container Ship,2018,"Hong Kong, China (HKG)"
9757888,COSCO SHIPPING ANDES,154300,Container Ship,2018,"Hong Kong, China (HKG)"
9789623,COSCO SHIPPING AQUARIUS,196670,Container Ship,2019,"Hong Kong, China (HKG)"
9783497,COSCO SHIPPING ARIES,196670,Container Ship,2018,"Hong Kong, China (HKG)"
9785756,COSCO SHIPPING AZALEA,143179,Container Ship,2019,"Hong Kong, China (HKG)"
9785782,COSCO SHIPPING CAMELLIA,143179,Container Ship,2019,"Hong Kong, China (HKG)"
9783514,COSCO SHIPPING CAPRICORN,196670,Container Ship,2018,"Hong Kong, China (HKG)"
9731913,COSCO SHIPPING DANUBE,94623,Container Ship,2016,"Hong Kong, China (HKG)"
9757876,COSCO SHIPPING DENALI,154300,Container Ship,2018,"Hong Kong, China (HKG)"
9795634,COSCO SHIPPING GALAXY,215553,Container Ship,2019,"Hong Kong, China (HKG)"
9783526,COSCO SHIPPING GEMINI,194864,Container Ship,2018,"Hong Kong, China (HKG)"
9757840,COSCO SHIPPING HIMALAYAS,154300,Container Ship,2017,"Hong Kong, China (HKG)"
9785768,COSCO SHIPPING JASMINE,143179,Container Ship,2018,"Hong Kong, China (HKG)"
