imo,vessel_name,gross_tonnage,type,year_built,flag
9358539,SUNAID X,7464,Container Ship,2006,Portugal (MAR) (PMD)
9384899,SUNRISE DRAGON,17225,Container Ship,2007,Panama (PAN)
9412830,SUNSHINE BANDAMA,17294,Container Ship,2007,Singapore (SGP)
9433949,SUNSHINE X,7464,Container Ship,2008,Antigua and Barbuda (ATG)
9339052,SUNWAY X,7545,Container Ship,2006,Antigua and Barbuda (ATG)
9436197,SUSAN,7852,Container Ship,2010,Antigua and Barbuda (ATG)
9302243,SVEN D,7713,Container Ship,2005,Netherlands (NLD)
9550395,SWAN RIVER BRIDGE,17237,Container Ship,2010,Singapore (SGP)
9297474,SYDNEY TRADER,54809,Container Ship,2005,Malta (MLT)
9443580,SYNERGY ANTWERP,40030,Container Ship,2008,Marshall Islands (MHL)
9450571,SYNERGY BUSAN,40030,Container Ship,2009,Marshall Islands (MHL)
9450595,SYNERGY KEELUNG,40030,Container Ship,2009,Cyprus (CYP)
9450583,SYNERGY OAKLAND,40030,Container Ship,2009,Cyprus (CYP)
9420368,TABAN 1,9957,Container Ship,2009,Iran (IRN)
9294812,TABEA,66280,Container Ship,2006,Portugal (MAR) (PMD)
9290787,TALASSA,66280,Container Ship,2005,Portugal (MAR) (PMD)
9334105,TAN CANG GLORY,6474,Container Ship,2005,Vietnam (VNM)
9431692,TANJA RICKMERS,40542,Container Ship,2009,Marshall Islands (MHL)
9351218,TASMAN STRAIT,18123,Container Ship,2008,Liberia (LBR)
9318242,TC SYMPHONY,10384,Container Ship,2005,Vietnam (VNM)
9346562,TCI VIJAY,9956,Container Ship,2006,India (IND)
9400186,TEAL HUNTER,42609,Container Ship,2010,Portugal (MAR) (PMD)
9300130,TEERA BHUM,21932,Container Ship,2005,Singapore (SGP)
9316373,TELEMANN,32200,Container Ship,2006,Liberia (LBR)
9551076,TELUK BINTUNI,4365,Container Ship,2008,Indonesia (IDN)
9551088,TELUK FLAMINGGO,4365,Container Ship,2008,Indonesia (IDN)
9099248,TENMA,499,Container Ship,2007,Japan (JPN)
9290799,TESSA,66280,Container Ship,2005,Portugal (MAR) (PMD)
9295165,TEXAS TRADER,54271,Container Ship,2005,Malta (MLT)
9300142,THANA BHUM,21932,Container Ship,2005,Singapore (SGP)
9372274,THETIS D,17488,Container Ship,2009,Cyprus (CYP)
9400564,TIAN AN HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9390616,TIAN BAO HE,54005,Container Ship,2009,China Peoples's Republic (CHN)
9300324,TIAN CHANG HE,66380,Container Ship,2005,China Peoples's Republic (CHN)
9437567,TIAN FU HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9437531,TIAN JIN HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9400576,TIAN KANG HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9400552,TIAN LI HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9400538,TIAN LONG HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9437555,TIAN QING HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9437543,TIAN SHENG HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9300312,TIAN SHUN HE,66380,Container Ship,2005,China Peoples's Republic (CHN)
9300300,TIAN XIANG HE,66380,Container Ship,2005,China Peoples's Republic (CHN)
9400526,TIAN XING HE,54005,Container Ship,2009,China Peoples's Republic (CHN)
9400540,TIAN XIU HE,54005,Container Ship,2010,China Peoples's Republic (CHN)
9400514,TIAN YUN HE,54005,Container Ship,2009,China Peoples's Republic (CHN)
9398462,TIANJIN,114044,Container Ship,2010,Liberia (LBR)
9307841,TIGER,25756,Container Ship,2005,Liberia (LBR)
9470894,TILLY RUSS,16137,Container Ship,2010,Marshall Islands (MHL)
9303742,TIM-S.,35581,Container Ship,2005,Liberia (LBR)
9347970,TOKATA,9948,Container Ship,2006,Lithuania (LTU)
9384875,TOKYO TOWER,17229,Container Ship,2007,United Kingdom (GBR)
9349629,TONGVA,42020,Container Ship,2008,Liberia (LBR)
9357523,TORRES STRAIT,18123,Container Ship,2008,Liberia (LBR)
9400198,TOUCAN HUNTER,42609,Container Ship,2010,Belgium (BEL)
9328900,TOUSKA,54851,Container Ship,2008,Iran (IRN)
9437189,TRADER,15334,Container Ship,2008,"Hong Kong, China (HKG)"
9330549,TRF KAYA,28616,Container Ship,2007,Liberia (LBR)
9419785,TRF PARTICI,35998,Container Ship,2010,Liberia (LBR)
9419797,TRF PESCARA,35998,Container Ship,2010,Liberia (LBR)
9367970,TRIDENT,9549,Container Ship,2008,Bahamas (BHS)
9367944,TRINITY,9549,Container Ship,2007,Bahamas (BHS)
9342798,TRIUMPH,9549,Container Ship,2007,Bahamas (BHS)
9326952,TROUPER,9962,Container Ship,2005,Portugal (MAR) (PMD)
9348493,TS HONGKONG,15487,Container Ship,2006,Panama (PAN)
9464687,TS SINGAPORE,42110,Container Ship,2010,Marshall Islands (MHL)
9359727,TS TAICHUNG,27104,Container Ship,2007,Taiwan (TWN)
9348481,TS TAIPEI,15487,Container Ship,2006,Taiwan (TWN)
9320702,TSINGTAO EXPRESS,93750,Container Ship,2007,Germany (DEU)
9355472,TUCANA J,8246,Container Ship,2007,Antigua and Barbuda (ATG)
9308182,TURKON EGYPT,32968,Container Ship,2007,Turkey (TUR)
9308039,UNI FLORIDA,36483,Container Ship,2007,Panama (PAN)
9330496,UNI FORTUNA,36483,Container Ship,2007,Panama (PAN)
9360520,UNISEA,9056,Container Ship,2010,Antigua and Barbuda (ATG)
9353747,UNISKY,9056,Container Ship,2009,Antigua and Barbuda (ATG)
9293234,URU BHUM,25217,Container Ship,2005,Thailand (THA)
9320685,UTE,53481,Container Ship,2007,Liberia (LBR)
9333395,VALDIVIA,17360,Container Ship,2006,Portugal (MAR) (PMD)
9344722,VALENTINA,17360,Container Ship,2007,Portugal (MAR) (PMD)
9395044,VARAMO,15375,Container Ship,2007,Cyprus (CYP)
9356672,VASSILIS A,10796,Container Ship,2009,Malta (MLT)
9301081,VEGA ALPHA,8971,Container Ship,2005,Liberia (LBR)
9403437,VEGA AZURIT,9957,Container Ship,2008,Liberia (LBR)
9330238,VEGA EPSILON,9940,Container Ship,2007,Liberia (LBR)
9336359,VEGA FYNEN,9957,Container Ship,2006,Germany (DEU)
9319595,VEGA HERCULES,9981,Container Ship,2006,Liberia (LBR)
